reserve_rank,query_country,reserves_reo_tonnes,query_element,element_name,ree_group,locality_count
1,China,44000000,Ce,Cerium,lree,109
1,China,44000000,La,Lanthanum,lree,40
1,China,44000000,Nd,Neodymium,lree,63
1,China,44000000,Sc,Scandium,scandium,6
1,China,44000000,Y,Yttrium,hree,114
1,China,44000000,Yb,Ytterbium,hree,3
2,Brazil,21000000,Ce,Cerium,lree,67
2,Brazil,21000000,La,Lanthanum,lree,17
2,Brazil,21000000,Nd,Neodymium,lree,21
2,Brazil,21000000,Y,Yttrium,hree,52
3,Australia,6300000,Ce,Cerium,lree,111
3,Australia,6300000,La,Lanthanum,lree,42
3,Australia,6300000,Nd,Neodymium,lree,38
3,Australia,6300000,Sc,Scandium,scandium,7
3,Australia,6300000,Y,Yttrium,hree,150
4,Russia,3800000,Ce,Cerium,lree,216
4,Russia,3800000,Gd,Gadolinium,hree,1
4,Russia,3800000,La,Lanthanum,lree,62
4,Russia,3800000,Nd,Neodymium,lree,59
4,Russia,3800000,Sc,Scandium,scandium,8
4,Russia,3800000,Sm,Samarium,lree,4
4,Russia,3800000,Y,Yttrium,hree,125
4,Russia,3800000,Yb,Ytterbium,hree,2
5,Vietnam,3500000,Ce,Cerium,lree,7
5,Vietnam,3500000,La,Lanthanum,lree,4
5,Vietnam,3500000,Nd,Neodymium,lree,6
5,Vietnam,3500000,Y,Yttrium,hree,4
